leaf_code,category_path,l1
01.003.004.006,劳保 / 呼吸防护 / 其它身体防护 / 屏风及配件,劳保
01.003.004.007,劳保 / 呼吸防护 / 其它身体防护 / 消防腰带,劳保
01.003.004.008,劳保 / 呼吸防护 / 其它身体防护 / 护肘,劳保
01.003.004.009,劳保 / 呼吸防护 / 其它身体防护 / 护膝,劳保
01.003.004.010,劳保 / 呼吸防护 / 其它身体防护 / 绑腿,劳保
01.003.004.011,劳保 / 呼吸防护 / 其它身体防护 / 内衣裤,劳保
01.003.005.001,劳保 / 呼吸防护 / 商务及休闲服装 / 羽绒服,劳保
01.003.005.002,劳保 / 呼吸防护 / 商务及休闲服装 / 运动休闲装,劳保
01.003.005.003,劳保 / 呼吸防护 / 商务及休闲服装 / 西装,劳保
01.004.001.001,劳保 / 手部防护 / 防护手套 / 涂层手套,劳保
01.004.001.002,劳保 / 手部防护 / 防护手套 / 防割手套,劳保
01.004.001.003,劳保 / 手部防护 / 防护手套 / 防化手套,劳保
01.004.001.004,劳保 / 手部防护 / 防护手套 / 防静电手套,劳保
01.004.001.005,劳保 / 手部防护 / 防护手套 / 绝缘手套,劳保
01.004.001.006,劳保 / 手部防护 / 防护手套 / 特种防护手套,劳保
01.004.001.007,劳保 / 手部防护 / 防护手套 / 消防手套,劳保
01.004.001.008,劳保 / 手部防护 / 防护手套 / 丁腈涂层手套,劳保
01.004.001.009,劳保 / 手部防护 / 防护手套 / 医用射线手套,劳保
01.004.001.010,劳保 / 手部防护 / 防护手套 / 机械防护手套,劳保
01.004.001.011,劳保 / 手部防护 / 防护手套 / 耐高温手套,劳保
01.004.001.012,劳保 / 手部防护 / 防护手套 / 防寒手套,劳保
01.004.001.013,劳保 / 手部防护 / 防护手套 / 电焊手套,劳保
01.004.001.014,劳保 / 手部防护 / 防护手套 / 乳胶涂层手套,劳保
01.004.001.015,劳保 / 手部防护 / 防护手套 / PVC涂层手套,劳保
01.004.002.001,劳保 / 手部防护 / 通用手套 / 礼仪手套,劳保
01.004.002.002,劳保 / 手部防护 / 通用手套 / 线手套,劳保
01.004.002.003,劳保 / 手部防护 / 通用手套 / 电焊皮手套,劳保
01.004.002.004,劳保 / 手部防护 / 通用手套 / 帆布手套,劳保
01.004.002.005,劳保 / 手部防护 / 通用手套 / 家用手套,劳保
01.004.002.006,劳保 / 手部防护 / 通用手套 / 手指套,劳保
01.004.002.007,劳保 / 手部防护 / 通用手套 / 防静电手环,劳保
01.004.002.008,劳保 / 手部防护 / 通用手套 / 手套夹,劳保
01.004.003.001,劳保 / 手部防护 / 一次性手套 / 一次性丁腈手套,劳保
01.004.003.002,劳保 / 手部防护 / 一次性手套 / 一次性乳胶手套,劳保
01.004.003.003,劳保 / 手部防护 / 一次性手套 / 一次性PVC手套,劳保
01.004.003.004,劳保 / 手部防护 / 一次性手套 / 一次性PE手套,劳保
01.004.003.005,劳保 / 手部防护 / 一次性手套 / 一次性医用乳胶手套,劳保
01.004.003.006,劳保 / 手部防护 / 一次性手套 / 一次性医用丁腈手套,劳保
01.004.003.007,劳保 / 手部防护 / 一次性手套 / 一次性医用PVC手套,劳保
01.004.003.008,劳保 / 手部防护 / 一次性手套 / 一次性医用PE手套,劳保
01.004.004,劳保 / 手部防护 / 手套配件,劳保
01.005.001.001,劳保 / 听力防护 / 耳罩 / 头戴式耳罩,劳保
01.005.001.002,劳保 / 听力防护 / 耳罩 / 挂帽式耳罩,劳保
01.005.001.003,劳保 / 听力防护 / 耳罩 / 防化手套,劳保
01.005.001.004,劳保 / 听力防护 / 耳罩 / 防静电手套,劳保
01.005.001.005,劳保 / 听力防护 / 耳罩 / 绝缘手套,劳保
01.005.001.006,劳保 / 听力防护 / 耳罩 / 特种防护手套,劳保
01.005.001.007,劳保 / 听力防护 / 耳罩 / 消防手套,劳保
01.005.001.008,劳保 / 听力防护 / 耳罩 / 丁腈涂层手套,劳保
01.005.001.009,劳保 / 听力防护 / 耳罩 / 医用射线手套,劳保
01.005.001.010,劳保 / 听力防护 / 耳罩 / 机械防护手套,劳保
01.005.001.011,劳保 / 听力防护 / 耳罩 / 耐高温手套,劳保
